content,sentiment
day,Neutral
now,Neutral
will,Neutral
today,Neutral
got,Neutral
one,Neutral
make,Neutral
dont,Neutral
back,Neutral
can,Neutral
see,Neutral
want,Neutral
cant,Neutral
amp,Neutral
night,Neutral
miss,Neutral
think,Neutral
realli,Neutral
look,Neutral
much,Neutral
feel,Neutral
lol,Neutral
last,Neutral
mother,Neutral
peopl,Neutral
come,Neutral
say,Neutral
watch,Neutral
hillari,Neutral
home,Neutral
tomorrow,Neutral
tonight,Neutral
morn,Neutral
sad,Neutral
week,Neutral
thing,Neutral
ill,Neutral
even,Neutral
take,Neutral
show,Neutral
wait,Neutral
twitter,Neutral
way,Neutral
didnt,Neutral
tri,Neutral
though,Neutral
follow,Neutral
get,Neutral
positivehappi,Neutral
never,Neutral
that,Neutral
weekend,Neutral
next,Neutral
let,Neutral
mom,Neutral
gonna,Neutral
wish,Neutral
call,Neutral
positivethank,Neutral
donald,Neutral
soon,Neutral
guy,Neutral
job,Neutral
positivejust,Neutral
school,Neutral
long,Neutral
tweet,Neutral
friend,Neutral
littl,Neutral
haha,Neutral
wont,Neutral
ive,Neutral
presid,Neutral
suck,Neutral
talk,Neutral
movi,Neutral
america,Neutral
year,Neutral
keep,Neutral
big,Neutral
sorri,Neutral
hate,Neutral
everyon,Neutral
use,Neutral
your,Neutral
bed,Neutral
find,Neutral
made,Neutral
lot,Neutral
alway,Neutral
said,Neutral
negativejust,Neutral
vote,Neutral
girl,Neutral
hurt,Neutral
hous,Neutral
thank,Neutral
ever,Neutral
someth,Neutral
alreadi,Neutral
rain,Neutral
doesnt,Neutral
yet,Neutral
tim,Neutral
done,Neutral
run,Neutral
leav,Neutral
sick,Neutral
head,Neutral
old,Neutral
anoth,Neutral
happen,Neutral
hard,Neutral
work,Neutral
clinton,Neutral
âhillari,Neutral
stop,Neutral
read,Neutral
positivelov,Neutral
put,Neutral
american,Neutral
may,Neutral
away,Neutral
left,Neutral
mean,Neutral
man,Neutral
friday,Neutral
thought,Neutral
hour,Neutral
eat,Neutral
song,Neutral
world,Neutral
end,Neutral
two,Neutral
tell,Neutral
hear,Neutral
phone,Neutral
car,Neutral
wanna,Neutral
everi,Neutral
noth,Neutral
bit,Neutral
kid,Neutral
someon,Neutral
busi,Neutral
monday,Neutral
meet,Neutral
check,Neutral
tire,Neutral
finish,Neutral
play,Neutral
positivegood,Neutral
must,Neutral
negativeth,Neutral
final,Neutral
negativehav,Neutral
sinc,Neutral
babi,Neutral
Neutraljust,Neutral
also,Neutral
isnt,Neutral
mayb,Neutral
start,Neutral
makeamericagreatagain,Neutral
money,Neutral
went,Neutral
guess,Neutral
hes,Neutral
around,Neutral
cri,Neutral
forward,Neutral
anyth,Neutral
post,Neutral
stuff,Neutral
hope,Neutral
yesterday,Neutral
lost,Neutral
plan,Neutral
positiveth,Neutral
actual,Neutral
negativeit,Neutral
book,Neutral
listen,Neutral
stay,Neutral
countri,Neutral
everyth,Neutral
fail,Neutral
ask,Neutral
might,Neutral
video,Neutral
far,Neutral
saw,Neutral
negativethat,Neutral
negativesorri,Neutral
offic,Neutral
without,Neutral
anyon,Neutral
havent,Neutral
person,Neutral
positiveyou,Neutral
hair,Neutral
positivehav,Neutral
positivethat,Neutral
hom,Neutral
negativemiss,Neutral
seem,Neutral
wrong,Neutral
caus,Neutral
game,Neutral
turn,Neutral
cruz,Neutral
fuck,Neutral
negativedont,Neutral
positivehaha,Neutral
birthday,Neutral
earli,Neutral
place,Neutral
sunday,Neutral
pic,Neutral
women,Neutral
ago,Neutral
pay,Neutral
pictur,Neutral
positivelol,Neutral
crook,Neutral
late,Neutral
positiveit,Neutral
Neutralyou,Neutral
rememb,Neutral
tho,Neutral
negativec,Neutral
boy,Neutral
famili,Neutral
found,Neutral
lov,Neutral
negativefeel,Neutral
damn,Neutral
shop,Neutral
negativenot,Neutral
hit,Neutral
positivehey,Neutral
close,Neutral
cut,Neutral
till,Neutral
poor,Neutral
fight,Neutral
gone,Neutral
war,Neutral
negativewish,Neutral
email,Neutral
later,Neutral
negativeh,Neutral
trump,Neutral
almost,Neutral
class,Neutral
lunch,Neutral
drink,Neutral
least,Neutral
seen,Neutral
wasnt,Neutral
weather,Neutral
cold,Neutral
stupid,Neutral
twitt,Neutral
send,Neutral
shes,Neutral
gotta,Neutral
music,Neutral
problem,Neutral
couldnt,Neutral
negativewhat,Neutral
probabl,Neutral
quit,Neutral
room,Neutral
die,Neutral
campaign,Neutral
Neutralth,Neutral
ticket,Neutral
took,Neutral
outsid,Neutral
name,Neutral
negativewhi,Neutral
month,Neutral
negativeyou,Neutral
part,Neutral
negativew,Neutral
exam,Neutral
mum,Neutral
sit,Neutral
shit,Neutral
there,Neutral
headach,Neutral
need,Neutral
anymor,Neutral
Neutralthank,Neutral
positivehad,Neutral
word,Neutral
dog,Neutral
els,Neutral
holiday,Neutral
kill,Neutral
news,Neutral
theyr,Neutral
dinner,Neutral
rock,Neutral
write,Neutral
text,Neutral
came,Neutral
time,Neutral
bring,Neutral
dad,Neutral
mine,Neutral
republican,Neutral
state,Neutral
stuck,Neutral
interview,Neutral
positiveyeah,Neutral
spend,Neutral
stand,Neutral
bett,Neutral
Neutralhav,Neutral
poll,Neutral
summer,Neutral
tax,Neutral
told,Neutral
messag,Neutral
photo,Neutral
kinda,Neutral
positivego,Neutral
walk,Neutral
saturday,Neutral
card,Neutral
fix,Neutral
negativethink,Neutral
onlin,Neutral
coffe,Neutral
Neutralit,Neutral
sound,Neutral
wel,Neutral
negativesad,Neutral
ted,Neutral
heard,Neutral
nation,Neutral
positivewatch,Neutral
negativeyeah,Neutral
pain,Neutral
negativer,Neutral
repli,Neutral
test,Neutral
hell,Neutral
instead,Neutral
Neutralthat,Neutral
stori,Neutral
bank,Neutral
pick,Neutral
crazi,Neutral
face,Neutral
half,Neutral
speech,Neutral
trek,Neutral
Neutralgo,Neutral
mommi,Neutral
trip,Neutral
updat,Neutral
chang,Neutral
link,Neutral
mind,Neutral
negativewa,Neutral
positivew,Neutral
positivewow,Neutral
what,Neutral
cat,Neutral
hand,Neutral
internet,Neutral
pass,Neutral
anyway,Neutral
blog,Neutral
comput,Neutral
sign,Neutral
catch,Neutral
obama,Neutral
forgot,Neutral
list,Neutral
til,Neutral
worri,Neutral
facebook,Neutral
lie,Neutral
short,Neutral
becom,Neutral
boo,Neutral
negativeand,Neutral
beach,Neutral
elect,Neutral
fan,Neutral
forget,Neutral
ugh,Neutral
wear,Neutral
breakfast,Neutral
hang,Neutral
histori,Neutral
Neutralgood,Neutral
positivefin,Neutral
cuz,Neutral
fall,Neutral
ice,Neutral
negativewel,Neutral
positivewhat,Neutral
suppos,Neutral
black,Neutral
citi,Neutral
com,Neutral
iphon,Neutral
less,Neutral
million,Neutral
account,Neutral
arent,Neutral
brother,Neutral
Neutraldont,Neutral
Neutralyeah,Neutral
okay,Neutral
sooo,Neutral
wake,Neutral
woke,Neutral
awesom,Neutral
dead,Neutral
eye,Neutral
help,Neutral
move,Neutral
positivewel,Neutral
record,Neutral
concert,Neutral
positiveand,Neutral
lik,Neutral
media,Neutral
negativethi,Neutral
serious,Neutral
candid,Neutral
unit,Neutral
visit,Neutral
white,Neutral
negativene,Neutral
Neutralnot,Neutral
ear,Neutral
figur,Neutral
build,Neutral
fact,Neutral
park,Neutral
positiveyour,Neutral
woman,Neutral
gave,Neutral
negativego,Neutral
positivec,Neutral
bought,Neutral
near,Neutral
pack,Neutral
second,Neutral
compani,Neutral
lose,Neutral
mad,Neutral
positiveyay,Neutral
site,Neutral
speak,Neutral
ass,Neutral
deal,Neutral
negativeugh,Neutral
Neutralhey,Neutral
report,Neutral
asleep,Neutral
differ,Neutral
goe,Neutral
ladi,Neutral
matter,Neutral
negativestil,Neutral
negativethank,Neutral
positiveomg,Neutral
positivewa,Neutral
sometim,Neutral
tour,Neutral
train,Neutral
act,Neutral
immigr,Neutral
negativegot,Neutral
negativeomg,Neutral
don,Neutral
negativehey,Neutral
negativeknow,Neutral
negativetri,Neutral
positivethink,Neutral
positivey,Neutral
tea,Neutral
episod,Neutral
lil,Neutral
moment,Neutral
negativework,Neutral
return,Neutral
law,Neutral
soo,Neutral
goodnight,Neutral
Neutralw,Neutral
point,Neutral
shower,Neutral
sing,Neutral
town,Neutral
colleg,Neutral
definit,Neutral
Neutralwel,Neutral
question,Neutral
quot,Neutral
