sentiment,content
neutral,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
negative,Layin n bed with a headache  ughhhh...waitin on your call...
negative,Funeral ceremony...gloomy friday...
positive,wants to hang out with friends SOON!
neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
negative,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
negative,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
negative,Hmmm. http://www.djhero.com/ is down
negative,@charviray Charlene my love. I miss you
negative,@kelcouch I'm sorry  at least it's Friday?
neutral,cant fall asleep
negative,Choked on her retainers
negative,Ugh! I have to beat this stupid song to get to the next  rude!
negative,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
positive,Got the news
negative,The storm is here and the electricity is gone
positive,@annarosekerr agreed
negative,So sleepy again and it's not even that late. I fail once again.
negative,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
negative,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
negative,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
positive,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
negative,I ate Something I don't know what it is... Why do I keep Telling things about food
negative,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
negative,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
negative,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
negative,Damm servers still down  i need to hit 80 before all the koxpers pass me
negative,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
negative,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
negative,It is so annoying when she starts typing on her computer in the middle of the night!
neutral,@cynthia_123 i cant sleep
neutral,I missed the bl***y bus!!!!!!!!
neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
neutral,SoCal!  stoked. or maybe not.. tomorrow
neutral,Screw you @davidbrussee! I only have 3 weeks...
negative,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
negative,I need skott right now
neutral,has work this afternoon
neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
positive,mmm much better day... so far! it's still quite early. last day of #uds
positive,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
negative,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
negative,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
neutral,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
negative,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
negative,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
negative,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
neutral,wnna take a bath!!!!
neutral,Chocolate milk is so much better through a straw. I lack said straw
negative,why am i so tired?
neutral,@djmicdamn hey yu lil fucker i textd yu
neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
neutral,@benballer  no way! damn that sucks B!  are you ok?
negative,sucks not being able to take days off of work or have the money to take the trip  so sad
positive,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
neutral,@lostluna But I got dibs on Sulu...
negative,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
negative,@itsgabbith at once haha.  poor aby still gets sore!
negative,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
negative,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
negative,@Pokinatcha  in all honesty...pain   blech.
negative,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
neutral,At home alone with not much to do
negative,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
negative,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
negative,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
positive,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
neutral,I cant give @jertronic any bday nudges.
negative,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
neutral,says I miss plurking.  http://plurk.com/p/wxion
negative,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
neutral,I miss Voobys!
neutral,@Dancing_Monk Neither are ELP!!
positive,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
negative,is sad that shin ae got married...and it wasn't to alex
negative,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
negative,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
negative,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
negative,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
negative,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
negative,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
negative,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
negative,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
negative,I can't sleep...I keep thinking about the puppy I played with today
